"financialyear","financialquarter","forcename","offencedescription","offencegroup","offencesubgroup","offencecode","numberofoffences"
"2012/13",1,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6823
"2015/16",3,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6713
"2015/16",1,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6608
"2016/17",1,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6598
"2016/17",3,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6582
"2016/17",2,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6514
"2014/15",3,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6447
"2012/13",2,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6417
"2017/18",1,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6401
"2015/16",2,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6395
"2016/17",4,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6309
"2017/18",3,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6301
"2017/18",2,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6205
"2013/14",1,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6151
"2015/16",4,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",6122
"2014/15",2,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",5997
"2014/15",1,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",5941
"2013/14",2,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",5939
"2013/14",3,"Metropolitan Police","Criminal damage to a vehicle","Criminal damage and arson","Criminal damage","58C",5918
