"financialyear","financialquarter","forcename","offencedescription","offencegroup","offencesubgroup","offencecode","numberofoffences"
"2020/21",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",132693
"2022/23",3,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",128818
"2021/22",4,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",120310
"2023/24",1,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",117875
"2022/23",4,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",113476
"2022/23",1,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",112518
"2021/22",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",112292
"2022/23",2,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",105725
"2020/21",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",104779
"2020/21",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",103097
"2022/23",2,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",100982
"2022/23",3,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",96612
"2021/22",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",92073
"2021/22",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",92033
"2021/22",4,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",90683
"2019/20",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",89239
"2022/23",4,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",88141
"2020/21",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",87920
"2021/22",3,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",87565
"2019/20",1,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",87367
"2021/22",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",87246
"2021/22",1,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",86767
"2022/23",1,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",85605
"2022/23",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",85038
"2020/21",4,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",84892
"2019/20",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",84746
"2016/17",1,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",84476
"2018/19",4,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",83039
"2019/20",4,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",82923
"2019/20",2,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",82664
"2019/20",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",82305
"2019/20",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",81960
"2016/17",3,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",81859
"2018/19",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",81688
"2022/23",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",81563
"2019/20",3,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",81343
"2023/24",1,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",81062
"2015/16",2,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",80970
"2018/19",3,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",80664
"2023/24",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",79986
"2021/22",1,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",79421
"2022/23",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",78312
"2022/23",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",78190
"2018/19",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",78175
"2018/19",2,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",77883
"2020/21",3,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",77635
"2021/22",2,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",77564
"2018/19",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",76410
"2017/18",1,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",75476
"2018/19",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",74813
"2015/16",1,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",74543
"2015/16",3,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",73454
"2016/17",4,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",73051
"2017/18",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: action fraud","AF",72815
"2018/19",1,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",71589
"2017/18",2,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",71380
"2020/21",2,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",70947
"2015/16",4,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",70001
"2017/18",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: action fraud","AF",69746
"2016/17",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",69327
"2016/17",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",68538
"2020/21",1,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",68281
"2017/18",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: action fraud","AF",67696
"2016/17",2,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",66809
"2017/18",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: action fraud","AF",66776
"2017/18",4,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",66760
"2014/15",4,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",66558
"2014/15",1,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",65604
"2014/15",2,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",64017
"2013/14",4,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",63639
"2017/18",3,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",63381
"2016/17",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",62703
"2014/15",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",62238
"2014/15",3,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",61583
"2021/22",3,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",61413
"2016/17",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",61375
"2015/16",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",59475
"2014/15",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",58529
"2014/15",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",57039
"2012/13",2,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",55474
