"financialyear","financialquarter","forcename","offencedescription","offencegroup","offencesubgroup","offencecode","numberofoffences"
"2022/23",2,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",12140
"2017/18",2,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",11557
"2021/22",1,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",11323
"2021/22",2,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",11311
"2021/22",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",11300
"2021/22",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",11292
"2023/24",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",11288
"2020/21",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",11201
"2022/23",1,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",10935
"2022/23",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",10925
"2022/23",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",10837
"2022/23",2,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",10350
"2021/22",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",10349
"2022/23",3,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",9874
"2019/20",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",9837
"2022/23",1,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",9796
"2017/18",3,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",9794
"2022/23",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",9778
"2022/23",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",9707
"2021/22",3,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",9707
