"forcename","sum"
"Derbyshire","840426"
"Merseyside","1581068"
"London, City of","72143"
"",""
"Norfolk","708584"
"Wiltshire","513667"
"Durham","660356"
"Nottinghamshire","1143102"
"Bedfordshire","582120"
"Cambridgeshire","728550"
"Sussex","1375355"
"Cumbria","401728"
"North Yorkshire","526275"
"Thames Valley","1882189"
"CIFAS","2231228"
"Humberside","1071239"
"Greater Manchester","3468917"
"Suffolk","607013"
"Avon and Somerset","1583538"
"Cifas","1077081"
"Dorset","596967"
"Action Fraud","3183118"
"Cheshire","979578"
"Northumbria","1505771"
"North Wales","652987"
"Leicestershire","1026068"
"Financial Fraud Action UK","523390"
"British Transport Police","634686"
"Metropolitan Police","9959502"
"Hampshire","1858443"
"Warwickshire","461158"
"Essex","1726890"
"West Mercia","1008329"
"Kent","1933327"
"UK Finance","1200608"
"Hertfordshire","889840"
"South Yorkshire","1608430"
"Lancashire","1551107"
"Surrey","824421"
"Devon and Cornwall","1226521"
"West Midlands","3158963"
"South Wales","1257047"
"Gwent","597753"
"Gloucestershire","479761"
"West Yorkshire","3082853"
"Dyfed-Powys","378045"
"Staffordshire","975887"
"Northamptonshire","707989"
"Cleveland","741126"
"Lincolnshire","576155"
