"financialyear","financialquarter","forcename","offencedescription","offencegroup","offencesubgroup","offencecode","numberofoffences"
"2022/23",3,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",29480
"2019/20",1,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",28900
"2023/24",1,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",28748
"2022/23",4,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",28081
"2012/13",1,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",27886
"2019/20",2,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",27820
"2012/13",3,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",27242
"2019/20",3,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",27113
"2012/13",2,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",27031
"2018/19",4,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",26949
"2022/23",2,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",26155
"2018/19",3,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",25437
"2012/13",4,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",24743
"2022/23",1,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",24728
"2021/22",3,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",24371
"2013/14",1,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",23811
"2013/14",2,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",23737
"2013/14",3,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",22982
"2018/19",2,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",22859
"2021/22",4,"Metropolitan Police","Other theft","Theft offences","Other theft offences","49",22512
